,endTime,artistName,trackName,msPlayed
4731,2020-05-03 12:18,The Beatles,Golden Slumbers - Remastered 2009,91760
4732,2020-05-03 12:20,The Beatles,Carry That Weight - Remastered 2009,96466
4733,2020-05-03 12:23,The Beatles,The End - Remastered 2009,136860
4734,2020-05-03 12:28,Fleetwood Mac,Gypsy - 2018 Remaster,263866
4735,2020-05-03 12:31,Fleetwood Mac,Hold Me - 2018 Remaster,195363
4736,2020-05-03 12:34,Fleetwood Mac,Love in Store - 2016 Remaster,195026
4737,2020-05-03 12:37,Fleetwood Mac,Can't Go Back - 2016 Remaster,163481
4738,2020-05-03 12:40,Fleetwood Mac,That's Alright - 2016 Remaster,190377
4739,2020-05-03 12:43,Fleetwood Mac,Book of Love - 2016 Remaster,202674
4740,2020-05-03 12:48,Fleetwood Mac,Gypsy - 2016 Remaster,267033
4741,2020-05-03 12:52,Fleetwood Mac,Only over You - 2016 Remaster,249995
4742,2020-05-03 12:55,Fleetwood Mac,Empire State - 2016 Remaster,172320
4743,2020-05-03 12:59,Fleetwood Mac,Straight Back - 2016 Remaster,251573
4744,2020-05-03 13:03,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4745,2020-05-03 13:05,Fleetwood Mac,Oh Diane - 2016 Remaster,158535
4746,2020-05-03 13:09,Fleetwood Mac,Eyes of the World - 2016 Remaster,226314
4747,2020-05-03 13:11,Fleetwood Mac,Wish You Were Here - 2016 Remaster,114282
4748,2020-05-03 13:28,Fleetwood Mac,Hold Me - 2016 Remaster,429614
4749,2020-05-03 13:31,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4750,2020-05-03 13:35,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4751,2020-05-03 13:39,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4752,2020-05-03 13:43,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4753,2020-05-03 13:46,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4754,2020-05-03 13:47,Elton John,Your Song,242277
4755,2020-05-03 13:50,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4756,2020-05-03 13:51,Fleetwood Mac,Hold Me - 2016 Remaster,25776
4757,2020-05-03 13:51,Elton John,Saturday Night's Alright For Fighting - Live At The Royal Festival Hall,38240
4758,2020-05-03 13:56,Elton John,Indian Sunset,6820
4759,2020-05-03 13:56,Elton John,Candle In The Wind 1997,250106
4760,2020-05-03 13:56,Elton John,Grey Seal,17610
4761,2020-05-03 13:56,Elton John,You Can Make History (Young Again),0
4762,2020-05-03 14:01,Elton John,Honky Cat,313026
4763,2020-05-03 14:06,Elton John,Mellow,43163
4764,2020-05-03 14:11,Elton John,Honky Cat,313026
4765,2020-05-03 14:13,Elton John,Mellow,68353
4766,2020-05-03 15:08,Elton John,Hercules,246520
4767,2020-05-03 15:12,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4768,2020-05-03 15:16,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4769,2020-05-03 15:19,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4770,2020-05-03 15:23,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4771,2020-05-03 15:27,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4772,2020-05-03 16:37,Fleetwood Mac,Hold Me - 2016 Remaster,392750
4773,2020-05-03 16:41,Fleetwood Mac,Hold Me - 2016 Remaster,225034
4774,2020-05-03 16:43,Fleetwood Mac,Hold Me - 2016 Remaster,85940
4775,2020-05-03 16:43,Fleetwood Mac,Albatross,27100
4776,2020-05-03 16:47,Fleetwood Mac,Rhiannon,252773
4777,2020-05-03 16:50,Fleetwood Mac,Don't Stop,190773
4778,2020-05-03 16:54,Fleetwood Mac,Go Your Own Way,218400
4779,2020-05-03 16:58,Fleetwood Mac,Hold Me,225333
4780,2020-05-03 17:02,Fleetwood Mac,Everywhere,222733
4781,2020-05-03 17:09,Fleetwood Mac,Gypsy,264906
4782,2020-05-03 17:12,Fleetwood Mac,You Make Loving Fun,211800
4783,2020-05-03 17:13,Fleetwood Mac,Dreams,18610
